Order ID,Region,State,Category,Sub-Category,Sales,Profit,Quantity,Discount,Customer Name,City,Payment Mode,Profit Ratio
54,South,Mizoram,Clothing,Non-Fiction,22577.3,-831.71,2,0.05,Customer_53,City_53,Credit Card,-0.04
55,West,Mizoram,Books,Women's Fashion,27554.62,-4712.49,9,0.1,Customer_54,City_54,Cash,-0.17
56,Central,Madhya Pradesh,Beauty & Personal Care,Cookware,32377.91,-3378.67,13,0.15,Customer_55,City_55,Cash,-0.1
57,West,Sikkim,Clothing,Men's Fashion,5918.12,3011.65,7,0.0,Customer_56,City_56,Cash,0.51
58,South,Odisha,Beauty & Personal Care,Fiction,37106.18,-2110.85,17,0.15,Customer_57,City_57,Credit Card,-0.06
59,West,Goa,Home & Kitchen,Women's Fashion,21403.16,14479.98,10,0.05,Customer_58,City_58,Debit Card,0.68
60,East,Andhra Pradesh,Books,Fiction,6719.79,-1912.64,4,0.15,Customer_59,City_59,Cash,-0.28
61,South,Bihar,Home & Kitchen,Textbooks,49085.85,12592.16,14,0.0,Customer_60,City_60,Cash,0.26
62,West,Assam,Books,Men's Fashion,47372.7,9764.15,11,0.05,Customer_61,City_61,Debit Card,0.21
63,South,Jammu & Kashmir,Books,Cosmetics,46949.88,2688.82,17,0.15,Customer_62,City_62,Credit Card,0.06
64,South,Andhra Pradesh,Clothing,Audio,49564.47,11399.99,9,0.0,Customer_63,City_63,Cash,0.23
65,West,Delhi,Clothing,Televisions,12281.4,2200.12,17,0.15,Customer_64,City_64,Credit Card,0.18
66,Central,Uttarakhand,Home & Kitchen,Cookware,3598.07,6657.67,12,0.0,Customer_65,City_65,UPI,1.85
67,East,Delhi,Electronics,Cookware,43145.52,5040.21,6,0.15,Customer_66,City_66,UPI,0.12
68,East,Madhya Pradesh,Beauty & Personal Care,Women's Fashion,49962.92,11209.56,5,0.15,Customer_67,City_67,Credit Card,0.22
69,Central,Telangana,Books,Cosmetics,28879.16,13749.65,1,0.1,Customer_68,City_68,UPI,0.48
70,South,Goa,Electronics,Furniture,30716.26,13279.52,18,0.0,Customer_69,City_69,Debit Card,0.43
71,Central,Karnataka,Electronics,Non-Fiction,24154.43,3996.39,14,0.0,Customer_70,City_70,Credit Card,0.17
72,Central,Jharkhand,Beauty & Personal Care,Audio,18206.5,14795.61,17,0.1,Customer_71,City_71,Cash,0.81
73,South,Odisha,Books,Furniture,9186.35,8312.76,11,0.0,Customer_72,City_72,UPI,0.9
74,East,West Bengal,Beauty & Personal Care,Men's Fashion,27757.2,11806.55,5,0.15,Customer_73,City_73,Cash,0.43
75,West,Telangana,Home & Kitchen,Men's Fashion,22077.02,7014.91,1,0.2,Customer_74,City_74,Cash,0.32
76,Central,Madhya Pradesh,Beauty & Personal Care,Decor,30400.25,1940.5,3,0.2,Customer_75,City_75,UPI,0.06
77,Central,Manipur,Home & Kitchen,Women's Fashion,25046.44,2553.13,13,0.0,Customer_76,City_76,Debit Card,0.1
78,West,Odisha,Clothing,Skincare,31981.86,14027.74,12,0.15,Customer_77,City_77,Cash,0.44
79,East,Andhra Pradesh,Electronics,Women's Fashion,46296.85,4640.02,14,0.2,Customer_78,City_78,Cash,0.1
80,East,Haryana,Clothing,Fiction,15500.67,334.2,14,0.15,Customer_79,City_79,Credit Card,0.02
81,West,Madhya Pradesh,Books,Decor,30663.45,9518.31,18,0.2,Customer_80,City_80,Cash,0.31
82,Central,Assam,Books,Laptops,14954.97,6813.82,17,0.2,Customer_81,City_81,UPI,0.46
83,Central,West Bengal,Clothing,Cookware,10698.43,2752.0,14,0.2,Customer_82,City_82,Credit Card,0.26
84,North,Maharashtra,Electronics,Skincare,8741.43,12095.4,18,0.0,Customer_83,City_83,Cash,1.38
85,Central,Bihar,Beauty & Personal Care,Skincare,1480.78,-1328.57,14,0.15,Customer_84,City_84,Credit Card,-0.9
86,Central,Rajasthan,Home & Kitchen,Non-Fiction,39516.71,-2331.69,17,0.2,Customer_85,City_85,Cash,-0.06
87,South,West Bengal,Home & Kitchen,Fiction,48507.26,8418.44,17,0.0,Customer_86,City_86,Cash,0.17
88,West,Nagaland,Home & Kitchen,Televisions,29984.48,14.49,6,0.05,Customer_87,City_87,Debit Card,0.0
89,Central,Delhi,Home & Kitchen,Non-Fiction,17240.51,11775.66,3,0.0,Customer_88,City_88,UPI,0.68
90,North,Delhi,Beauty & Personal Care,Mobiles,8908.31,-4501.09,11,0.05,Customer_89,City_89,Debit Card,-0.51
91,North,Gujarat,Electronics,Cookware,2169.57,10452.07,15,0.2,Customer_90,City_90,UPI,4.82
92,East,Gujarat,Electronics,Cosmetics,45824.31,4744.35,11,0.05,Customer_91,City_91,Cash,0.1
93,East,Tripura,Books,Textbooks,35131.49,11012.22,1,0.0,Customer_92,City_92,UPI,0.31
94,West,Uttarakhand,Home & Kitchen,Haircare,47588.75,-4404.55,9,0.2,Customer_93,City_93,Debit Card,-0.09
95,East,Arunachal Pradesh,Clothing,Cookware,25289.11,577.98,7,0.1,Customer_94,City_94,Credit Card,0.02
96,East,Punjab,Books,Furniture,37783.38,9088.65,5,0.05,Customer_95,City_95,Cash,0.24
97,North,Maharashtra,Books,Cosmetics,27203.58,-3569.54,10,0.0,Customer_96,City_96,UPI,-0.13
98,Central,Tamil Nadu,Home & Kitchen,Laptops,40172.74,4143.7,13,0.1,Customer_97,City_97,Credit Card,0.1
99,Central,Manipur,Home & Kitchen,Haircare,18244.62,11211.56,14,0.0,Customer_98,City_98,Credit Card,0.61
100,North,Tamil Nadu,Books,Women's Fashion,34128.8,7740.49,16,0.1,Customer_99,City_99,UPI,0.23
101,South,Meghalaya,Clothing,Fiction,39047.42,12916.45,19,0.1,Customer_100,City_100,Credit Card,0.33
102,Central,Meghalaya,Beauty & Personal Care,Televisions,26708.67,11638.36,15,0.0,Customer_101,City_101,Credit Card,0.44
103,East,Chhattisgarh,Electronics,Laptops,13304.35,10634.55,17,0.15,Customer_102,City_102,Debit Card,0.8
104,East,Madhya Pradesh,Books,Mobiles,15642.99,4464.16,3,0.05,Customer_103,City_103,Cash,0.29
105,Central,Delhi,Home & Kitchen,Kids' Fashion,7058.91,6755.18,2,0.0,Customer_104,City_104,UPI,0.96
106,West,Uttar Pradesh,Electronics,Women's Fashion,33470.41,14752.19,5,0.0,Customer_105,City_105,UPI,0.44
107,South,Arunachal Pradesh,Books,Decor,7302.63,13590.87,7,0.05,Customer_106,City_106,Credit Card,1.86
108,North,Himachal Pradesh,Books,Decor,7834.56,3723.99,17,0.15,Customer_107,City_107,Debit Card,0.48
109,Central,West Bengal,Home & Kitchen,Cookware,49762.48,11689.66,3,0.2,Customer_108,City_108,Debit Card,0.23
110,South,Punjab,Books,Kids' Fashion,38895.33,-3559.17,12,0.0,Customer_109,City_109,Cash,-0.09
111,West,Meghalaya,Electronics,Laptops,32813.75,7525.48,17,0.1,Customer_110,City_110,Credit Card,0.23
112,North,Mizoram,Books,Men's Fashion,27072.22,-439.26,8,0.2,Customer_111,City_111,Cash,-0.02
113,Central,Haryana,Beauty & Personal Care,Furniture,1509.49,10038.91,18,0.15,Customer_112,City_112,UPI,6.65
114,South,Nagaland,Home & Kitchen,Cookware,4467.72,9441.26,13,0.05,Customer_113,City_113,Debit Card,2.11
115,North,Uttar Pradesh,Beauty & Personal Care,Haircare,3401.33,11327.33,4,0.15,Customer_114,City_114,Debit Card,3.33
116,West,Odisha,Electronics,Women's Fashion,33215.64,-2850.02,9,0.05,Customer_115,City_115,Credit Card,-0.09
117,South,Karnataka,Books,Decor,49441.25,-780.04,18,0.05,Customer_116,City_116,UPI,-0.02
118,East,Gujarat,Beauty & Personal Care,Kids' Fashion,37189.78,11922.18,1,0.1,Customer_117,City_117,Debit Card,0.32
119,West,Mizoram,Clothing,Fiction,2176.05,13942.16,19,0.1,Customer_118,City_118,UPI,6.41
120,West,Uttar Pradesh,Beauty & Personal Care,Textbooks,20168.42,403.07,19,0.15,Customer_119,City_119,Credit Card,0.02
121,Central,Himachal Pradesh,Electronics,Decor,40602.07,175.22,11,0.05,Customer_120,City_120,Credit Card,0.0
122,Central,Goa,Books,Textbooks,31152.35,10449.27,1,0.2,Customer_121,City_121,Debit Card,0.34
123,East,Nagaland,Clothing,Haircare,31076.56,-768.73,11,0.1,Customer_122,City_122,UPI,-0.02
124,West,Arunachal Pradesh,Beauty & Personal Care,Cosmetics,9263.06,14667.37,17,0.2,Customer_123,City_123,Credit Card,1.58
125,Central,Goa,Clothing,Non-Fiction,17009.89,1758.78,14,0.2,Customer_124,City_124,UPI,0.1
126,West,Goa,Clothing,Decor,15218.76,5028.37,9,0.1,Customer_125,City_125,Debit Card,0.33
127,South,Himachal Pradesh,Electronics,Mobiles,13765.88,6698.49,15,0.2,Customer_126,City_126,Debit Card,0.49
128,South,Meghalaya,Clothing,Men's Fashion,22830.95,6033.59,8,0.15,Customer_127,City_127,Debit Card,0.26
129,Central,Madhya Pradesh,Clothing,Decor,2132.12,10623.85,5,0.15,Customer_128,City_128,Debit Card,4.98
130,West,Manipur,Beauty & Personal Care,Decor,30675.77,8504.14,12,0.15,Customer_129,City_129,Cash,0.28
131,West,Madhya Pradesh,Electronics,Fiction,25935.76,11899.62,4,0.15,Customer_130,City_130,Debit Card,0.46
132,South,Chhattisgarh,Electronics,Cookware,30377.01,14790.63,13,0.1,Customer_131,City_131,Credit Card,0.49
133,Central,Telangana,Beauty & Personal Care,Textbooks,33454.84,1833.58,11,0.0,Customer_132,City_132,Debit Card,0.05
134,North,Nagaland,Books,Skincare,39996.1,14580.93,8,0.1,Customer_133,City_133,UPI,0.36
135,East,Sikkim,Home & Kitchen,Non-Fiction,8875.51,892.52,8,0.0,Customer_134,City_134,Credit Card,0.1
136,South,Andhra Pradesh,Beauty & Personal Care,Audio,21398.84,11573.25,10,0.2,Customer_135,City_135,UPI,0.54
137,West,Uttarakhand,Books,Mobiles,41147.8,12221.05,10,0.15,Customer_136,City_136,Cash,0.3
138,South,Karnataka,Beauty & Personal Care,Kids' Fashion,8819.6,9576.26,4,0.15,Customer_137,City_137,UPI,1.09
139,North,Tamil Nadu,Books,Audio,43714.66,3113.39,3,0.1,Customer_138,City_138,Debit Card,0.07
140,East,Karnataka,Clothing,Cookware,40637.88,14387.46,12,0.0,Customer_139,City_139,Cash,0.35
141,Central,Punjab,Home & Kitchen,Haircare,28862.6,735.74,5,0.1,Customer_140,City_140,UPI,0.03
142,West,Nagaland,Home & Kitchen,Cookware,26664.79,13401.83,16,0.15,Customer_141,City_141,Debit Card,0.5
143,Central,Telangana,Beauty & Personal Care,Skincare,44801.41,13890.66,4,0.0,Customer_142,City_142,Debit Card,0.31
144,East,Bihar,Electronics,Decor,11994.92,1847.0,16,0.05,Customer_143,City_143,Debit Card,0.15
145,North,Gujarat,Electronics,Non-Fiction,10521.64,965.58,5,0.05,Customer_144,City_144,Debit Card,0.09
146,North,Goa,Electronics,Cosmetics,1644.73,7365.32,6,0.05,Customer_145,City_145,UPI,4.48
147,Central,Tamil Nadu,Electronics,Non-Fiction,48892.21,12805.5,3,0.15,Customer_146,City_146,Credit Card,0.26
148,East,Tripura,Books,Skincare,20376.1,-4505.06,6,0.05,Customer_147,City_147,Debit Card,-0.22
149,North,Uttar Pradesh,Clothing,Televisions,14136.59,2686.93,6,0.2,Customer_148,City_148,Debit Card,0.19
150,West,Madhya Pradesh,Beauty & Personal Care,Textbooks,8568.96,10381.1,16,0.0,Customer_149,City_149,UPI,1.21
151,North,Mizoram,Home & Kitchen,Mobiles,10958.7,-1522.96,1,0.15,Customer_150,City_150,Debit Card,-0.14
152,West,Jammu & Kashmir,Electronics,Audio,13097.87,11644.2,4,0.0,Customer_151,City_151,Credit Card,0.89
153,Central,Punjab,Clothing,Non-Fiction,7595.0,4538.72,16,0.0,Customer_152,City_152,UPI,0.6
154,East,Mizoram,Beauty & Personal Care,Men's Fashion,6033.92,8139.81,9,0.0,Customer_153,City_153,Credit Card,1.35
155,South,Goa,Clothing,Cosmetics,38497.27,13546.02,17,0.15,Customer_154,City_154,Cash,0.35
156,East,Himachal Pradesh,Beauty & Personal Care,Furniture,4441.22,-4526.95,14,0.15,Customer_155,City_155,UPI,-1.02
157,South,Mizoram,Books,Non-Fiction,4680.06,2081.75,12,0.05,Customer_156,City_156,Credit Card,0.44
158,South,Tamil Nadu,Clothing,Cookware,17279.14,-4536.97,4,0.0,Customer_157,City_157,Debit Card,-0.26
159,South,Punjab,Home & Kitchen,Cookware,46002.96,-1037.0,2,0.15,Customer_158,City_158,Debit Card,-0.02
160,West,Punjab,Beauty & Personal Care,Men's Fashion,9011.49,1335.04,14,0.2,Customer_159,City_159,Credit Card,0.15
161,East,Meghalaya,Home & Kitchen,Laptops,49420.42,13998.36,6,0.15,Customer_160,City_160,Debit Card,0.28
162,Central,West Bengal,Electronics,Women's Fashion,11151.45,4559.01,10,0.15,Customer_161,City_161,Cash,0.41
163,Central,Madhya Pradesh,Beauty & Personal Care,Televisions,46545.22,1039.83,9,0.05,Customer_162,City_162,Debit Card,0.02
164,West,Manipur,Electronics,Haircare,26980.98,5404.71,11,0.05,Customer_163,City_163,UPI,0.2
165,South,Rajasthan,Home & Kitchen,Mobiles,47784.52,1226.46,10,0.2,Customer_164,City_164,UPI,0.03
166,Central,Chhattisgarh,Electronics,Kids' Fashion,20778.44,-2941.25,3,0.15,Customer_165,City_165,Debit Card,-0.14
167,South,Arunachal Pradesh,Books,Televisions,12513.4,12413.82,19,0.1,Customer_166,City_166,Cash,0.99
168,Central,Madhya Pradesh,Electronics,Fiction,7894.63,-1776.99,15,0.15,Customer_167,City_167,UPI,-0.23
169,North,Assam,Beauty & Personal Care,Decor,45747.79,13270.71,14,0.15,Customer_168,City_168,Cash,0.29
170,East,Madhya Pradesh,Home & Kitchen,Audio,12388.12,1555.68,10,0.0,Customer_169,City_169,UPI,0.13
171,East,Tripura,Home & Kitchen,Skincare,566.56,-4649.23,10,0.05,Customer_170,City_170,Credit Card,-8.21
172,Central,Andhra Pradesh,Home & Kitchen,Women's Fashion,18553.89,14447.92,4,0.0,Customer_171,City_171,Credit Card,0.78
173,West,Gujarat,Electronics,Haircare,28849.15,-3312.06,17,0.0,Customer_172,City_172,Cash,-0.11
174,East,Madhya Pradesh,Electronics,Televisions,44012.24,10482.62,19,0.15,Customer_173,City_173,Debit Card,0.24
175,West,Gujarat,Clothing,Mobiles,49574.44,-1750.17,8,0.0,Customer_174,City_174,Debit Card,-0.04
176,West,Meghalaya,Beauty & Personal Care,Audio,35389.88,-1807.49,16,0.2,Customer_175,City_175,Debit Card,-0.05
177,East,Gujarat,Electronics,Televisions,14942.5,12127.35,4,0.1,Customer_176,City_176,Credit Card,0.81
178,East,Madhya Pradesh,Electronics,Non-Fiction,26878.11,11091.11,8,0.15,Customer_177,City_177,Credit Card,0.41
179,South,Uttarakhand,Beauty & Personal Care,Audio,48512.21,8351.36,2,0.15,Customer_178,City_178,Cash,0.17
180,West,Punjab,Beauty & Personal Care,Women's Fashion,45207.63,-339.9,18,0.05,Customer_179,City_179,Cash,-0.01
181,East,Tripura,Clothing,Textbooks,19252.95,14722.85,8,0.0,Customer_180,City_180,Credit Card,0.76
182,North,Odisha,Books,Laptops,42141.93,-4225.42,16,0.1,Customer_181,City_181,Debit Card,-0.1
183,Central,Karnataka,Clothing,Cookware,39060.56,7603.31,15,0.2,Customer_182,City_182,Debit Card,0.19
184,East,Delhi,Home & Kitchen,Televisions,15859.12,582.1,4,0.15,Customer_183,City_183,Credit Card,0.04
185,North,Karnataka,Books,Furniture,48241.28,8275.06,16,0.05,Customer_184,City_184,Credit Card,0.17
186,East,Chhattisgarh,Books,Cosmetics,11060.46,-4678.34,17,0.2,Customer_185,City_185,Debit Card,-0.42
187,North,Punjab,Home & Kitchen,Men's Fashion,34862.95,-1195.21,17,0.2,Customer_186,City_186,Cash,-0.03
188,Central,Madhya Pradesh,Home & Kitchen,Non-Fiction,4181.16,12062.18,9,0.05,Customer_187,City_187,Debit Card,2.88
189,South,Arunachal Pradesh,Home & Kitchen,Haircare,14640.01,14673.86,11,0.0,Customer_188,City_188,Cash,1.0
190,Central,Karnataka,Clothing,Cosmetics,49065.96,4640.62,9,0.15,Customer_189,City_189,Debit Card,0.09
191,Central,Uttarakhand,Electronics,Televisions,38181.98,5211.71,19,0.0,Customer_190,City_190,Cash,0.14
192,East,Kerala,Beauty & Personal Care,Women's Fashion,9437.67,13449.54,13,0.1,Customer_191,City_191,Debit Card,1.43
193,East,Delhi,Clothing,Textbooks,3906.31,3057.67,13,0.15,Customer_192,City_192,Debit Card,0.78
194,South,Goa,Books,Cookware,48953.84,13322.67,6,0.2,Customer_193,City_193,Cash,0.27
195,South,Tamil Nadu,Electronics,Fiction,6814.73,-261.89,11,0.15,Customer_194,City_194,UPI,-0.04
196,North,Jharkhand,Home & Kitchen,Kids' Fashion,46210.13,2312.42,4,0.0,Customer_195,City_195,Credit Card,0.05
197,North,Chhattisgarh,Books,Mobiles,46516.8,13121.1,5,0.2,Customer_196,City_196,Cash,0.28
198,West,Sikkim,Beauty & Personal Care,Textbooks,33818.34,9410.66,8,0.0,Customer_197,City_197,Credit Card,0.28
199,East,Goa,Electronics,Women's Fashion,21773.97,10119.93,18,0.2,Customer_198,City_198,UPI,0.46
200,Central,Delhi,Home & Kitchen,Decor,37134.58,7216.28,10,0.2,Customer_199,City_199,Debit Card,0.19
201,South,Odisha,Books,Skincare,16445.64,-3534.23,1,0.05,Customer_200,City_200,Cash,-0.21
202,East,Karnataka,Books,Haircare,45816.95,10428.43,18,0.0,Customer_201,City_201,Debit Card,0.23
203,South,Karnataka,Books,Non-Fiction,14606.44,4543.58,17,0.05,Customer_202,City_202,Credit Card,0.31
204,Central,Himachal Pradesh,Books,Women's Fashion,31569.07,1076.88,4,0.15,Customer_203,City_203,Cash,0.03
205,South,West Bengal,Home & Kitchen,Non-Fiction,9813.77,4667.97,11,0.0,Customer_204,City_204,Credit Card,0.48
206,Central,Kerala,Clothing,Cookware,9499.69,8487.54,15,0.2,Customer_205,City_205,Debit Card,0.89
207,South,Maharashtra,Books,Non-Fiction,31235.56,10319.44,11,0.0,Customer_206,City_206,Credit Card,0.33
208,West,Andhra Pradesh,Home & Kitchen,Laptops,7396.6,13225.42,9,0.2,Customer_207,City_207,Debit Card,1.79
209,East,Telangana,Beauty & Personal Care,Non-Fiction,11541.86,14588.9,16,0.1,Customer_208,City_208,Credit Card,1.26
210,Central,Maharashtra,Beauty & Personal Care,Cookware,13410.29,13624.86,12,0.1,Customer_209,City_209,UPI,1.02
211,East,Arunachal Pradesh,Electronics,Women's Fashion,24738.99,2156.39,1,0.0,Customer_210,City_210,Credit Card,0.09
212,North,Tripura,Home & Kitchen,Televisions,37863.42,13102.13,2,0.05,Customer_211,City_211,Debit Card,0.35
213,Central,Madhya Pradesh,Books,Skincare,14395.53,-333.2,5,0.0,Customer_212,City_212,Cash,-0.02
214,North,Tamil Nadu,Beauty & Personal Care,Men's Fashion,6623.77,3392.47,10,0.2,Customer_213,City_213,Credit Card,0.51
215,West,Jharkhand,Electronics,Women's Fashion,44780.28,7032.46,6,0.1,Customer_214,City_214,Debit Card,0.16
216,Central,Assam,Beauty & Personal Care,Non-Fiction,23323.26,-4960.7,10,0.05,Customer_215,City_215,Credit Card,-0.21
217,East,Tamil Nadu,Beauty & Personal Care,Non-Fiction,48585.94,12623.59,4,0.05,Customer_216,City_216,Debit Card,0.26
218,West,Haryana,Beauty & Personal Care,Fiction,29494.67,10294.39,19,0.0,Customer_217,City_217,Cash,0.35
219,South,Arunachal Pradesh,Home & Kitchen,Men's Fashion,7610.69,470.68,13,0.15,Customer_218,City_218,UPI,0.06
220,Central,Tamil Nadu,Beauty & Personal Care,Furniture,7619.25,1844.15,5,0.0,Customer_219,City_219,Cash,0.24
221,South,Himachal Pradesh,Home & Kitchen,Haircare,23272.52,7989.23,6,0.15,Customer_220,City_220,Debit Card,0.34
222,Central,Madhya Pradesh,Clothing,Women's Fashion,29516.86,13391.39,10,0.1,Customer_221,City_221,Credit Card,0.45
223,West,Goa,Electronics,Cosmetics,2902.14,13607.76,15,0.15,Customer_222,City_222,Credit Card,4.69
224,East,West Bengal,Beauty & Personal Care,Mobiles,11719.7,6224.25,16,0.1,Customer_223,City_223,Credit Card,0.53
225,West,Telangana,Electronics,Kids' Fashion,5022.34,5277.94,19,0.05,Customer_224,City_224,Debit Card,1.05
226,North,Arunachal Pradesh,Beauty & Personal Care,Cosmetics,7755.47,1650.53,6,0.2,Customer_225,City_225,Cash,0.21
227,South,Andhra Pradesh,Clothing,Textbooks,43066.13,12319.04,7,0.1,Customer_226,City_226,Debit Card,0.29
228,North,Chhattisgarh,Electronics,Decor,41879.88,7622.4,13,0.0,Customer_227,City_227,UPI,0.18
229,West,Sikkim,Beauty & Personal Care,Women's Fashion,40892.65,14509.33,4,0.0,Customer_228,City_228,Cash,0.35
230,South,Meghalaya,Books,Haircare,23437.56,10898.0,10,0.0,Customer_229,City_229,UPI,0.46
231,East,Maharashtra,Electronics,Kids' Fashion,33783.11,13333.07,1,0.15,Customer_230,City_230,UPI,0.39
232,West,Maharashtra,Beauty & Personal Care,Cookware,16625.68,2754.29,5,0.0,Customer_231,City_231,Credit Card,0.17
233,East,Rajasthan,Clothing,Men's Fashion,13216.1,12026.16,2,0.1,Customer_232,City_232,Credit Card,0.91
